id,title,price,length,texture,color,cap_size,cap_construction,density,hair_type,style
wig001,"Raquel Welch Short Bob RL6/8 Dark Chocolate",179.99,short,straight,brunette,average,monofilament,medium,human_hair,professional
wig002,"Long Beach Waves Blonde Lace Front Wig",249.99,long,wavy,blonde,average,lace_front,medium,human_hair,casual
wig003,"Curly Red Fantasy Wig Rainbow Highlights",89.99,medium,curly,fantasy,large,basic,heavy,synthetic,trendy
wig004,"Elegant Silver Bob for Mature Women",159.99,short,straight,gray,average,hand_tied,light,human_hair,classic
wig005,"Professional Brunette Straight Long Hair",199.99,long,straight,brunette,average,full_lace,medium,human_hair,professional
wig006,"Shoulder Length Wavy Auburn RL30/27 Rusty Auburn",149.99,medium,wavy,red,average,monofilament,medium,human_hair,casual
wig007,"Pixie Cut Blonde Synthetic Basic Cap",79.99,short,straight,blonde,petite,basic,light,synthetic,trendy
wig008,"Extra Long Curly Black Lace Front Wig",299.99,extra_long,curly,black,large,lace_front,heavy,human_hair,formal










